"","quarter","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"1",1,0.315,0.791304347826087,0.785,0.592352941176471,0.679090909090909,0.628888888888889,1.08866666666667,0.564285714285714,0.771153846153846,0.797333333333333,0.42304347826087,0.787096774193548,0.256666666666667,0.362142857142857,0.856315789473684,0.466666666666667,0.791666666666667,0.315833333333333,0.525,0.758636363636364,0.504,0.836206896551724,0.707692307692308,0.984117647058824,0.56,0.476428571428571,0.870588235294118,0.291739130434783,0.547096774193548,0.717777777777778,0.208888888888889,0.854,0.591818181818182,0.666764705882353,0.443333333333333,0.391818181818182,0.772222222222222,0.299130434782609,0.590526315789474,0.543181818181818,0.456363636363636,0.206363636363636,0.519166666666667,0.215384615384615,0.487619047619048,0.594705882352941,0.430952380952381
"2",2,0.0633333333333333,NA,0.165,0.29,0.157777777777778,0.825,0.29375,NA,0.137142857142857,0.43,0.436666666666667,0.501111111111111,0.06,NA,0.306666666666667,0.08,0.4425,0.355,0.44,0.24,0.0566666666666667,0.35,0.087,0.178888888888889,0.248333333333333,NA,0.341666666666667,0.345714285714286,0.848,0.334,0.09,0.228666666666667,0.01,0.258333333333333,0.394705882352941,0.256666666666667,0.06,0.165,0.228888888888889,0.185,0.35125,0.0744444444444445,0.0771428571428571,0.13,0.0857142857142857,0.075,NA
"3",3,0.01,0.03,0.05,0.01,0.804,NA,0.605,0.455,0.48,NA,0.5175,0.5725,0.233333333333333,0.1,0.8,NA,NA,0.02,0.065,0.0675,0.255,NA,0.03,NA,NA,0.03,0.0566666666666667,NA,NA,NA,0.0314285714285714,0.025,NA,0.055,0.04,0.21,0,0.01,0.01,NA,0.01,0.015,0.0133333333333333,0.036,0.01,0.0925,NA
"4",4,0.646,0.433,1.0575,0.1525,0.384,0.91625,0.428181818181818,0.32,0.955,0.357272727272727,0.683076923076923,0.828571428571429,0.420666666666667,0.463333333333333,0.73,0.301176470588235,0.404166666666667,0.25,0.0633333333333333,0.66,0.614545454545455,0.327777777777778,0.342,0.487142857142857,1.0325,0.620555555555556,0.187777777777778,0.258333333333333,0.595,0.407058823529412,0.912142857142857,0.298571428571429,0.706666666666667,0.155217391304348,0.147777777777778,0.666,0.286,0.549230769230769,0.557777777777778,0.344545454545455,0.200333333333333,0.0892857142857143,0.33,0.108571428571429,0.335,0.035,NA
