year,month,quarter,daily rain
2012,11,4,0.80
2012,11,4,0.01
2012,11,4,0.01
2012,11,4,0.01
2012,11,4,0.01
2012,11,4,0.62
2012,11,4,0.42
2012,12,4,0.26
2012,12,4,0.13
2012,12,4,0.83
2012,12,4,0.08
2012,12,4,0.01
2012,12,4,0.01
2012,12,4,0.01
2012,12,4,0.14
2012,12,4,0.04
2012,12,4,0.03
2012,12,4,0.06
2012,12,4,0.25
2012,12,4,0.12
2012,12,4,0.87
2012,12,4,0.19
2012,12,4,0.14
2012,12,4,0.03
2013,1,1,0.07
2013,1,1,0.09
2013,1,1,0.86
2013,1,1,0.18
2013,1,1,0.15
2013,2,1,0.02
2013,2,1,0.19
2013,3,1,0.02
2013,3,1,0.62
2013,3,1,0.01
2013,3,1,0.06
2013,4,2,0.33
2013,4,2,0.01
2013,4,2,0.03
2013,4,2,0.02
2013,5,2,0.21
2013,6,2,0.03
2013,6,2,0.01
2013,6,2,0.02
2013,6,2,0.01
2013,7,3,0.02
2013,9,3,0.01
2013,10,4,0.01
2013,10,4,0.01
2013,10,4,0.08
2013,10,4,0.01
2013,11,4,0.01
2013,11,4,0.01
2013,11,4,0.56
2013,11,4,0.01
2013,11,4,0.05
2013,11,4,0.01
2013,11,4,0.27
2013,12,4,0.01
2013,12,4,0.18
2013,12,4,0.03
2014,2,1,0.13
2014,2,1,0.01
2014,2,1,0.20
2014,2,1,0.01
2014,2,1,0.01
2014,2,1,1.74
2014,2,1,1.58
2014,3,1,0.65
2014,3,1,1.73
2014,3,1,0.03
2014,3,1,0.01
2014,3,1,0.13
2014,4,2,0.16
2014,4,2,0.26
2014,4,2,0.02
2014,4,2,0.02
2014,4,2,0.01
2014,5,2,0.06
2014,6,2,0.01
2014,8,3,0.01
2014,8,3,0.02
2014,9,3,0.01
2014,10,4,0.01
2014,10,4,0.01
2014,10,4,0.01
2014,10,4,0.01
2014,11,4,0.84
2014,11,4,0.02
2014,12,4,0.05
2014,12,4,0.36
2014,12,4,1.84
2014,12,4,0.04
2014,12,4,0.02
2014,12,4,0.01
2014,12,4,0.01
2014,12,4,2.12
2014,12,4,0.08
2014,12,4,0.21
2014,12,4,0.61
2014,12,4,0.01
2014,12,4,0.01
2015,1,1,0.01
2015,1,1,1.31
2015,1,1,0.10
2015,1,1,0.01
2015,1,1,0.01
2015,1,1,0.13
2015,2,1,0.01
2015,2,1,0.03
2015,2,1,0.58
2015,2,1,0.05
2015,2,1,0.16
2015,3,1,0.22
2015,3,1,0.18
2015,4,2,0.27
2015,4,2,0.03
2015,5,2,0.02
2015,5,2,0.01
2015,5,2,0.25
2015,5,2,0.01
2015,6,2,0.02
2015,6,2,0.67
2015,6,2,0.01
2015,6,2,0.01
2015,7,3,0.05
2015,7,3,0.03
2015,9,3,0.06
2015,9,3,0.03
2015,9,3,0.01
2015,10,4,0.25
2015,10,4,0.01
2015,11,4,0.01
2015,11,4,0.01
2015,11,4,0.11
2015,12,4,0.18
2015,12,4,0.19
2016,1,1,0.96
2016,1,1,0.99
2016,1,1,2.07
2016,1,1,0.07
2016,1,1,0.01
2016,1,1,0.01
2016,1,1,0.15
2016,1,1,0.50
2016,1,1,0.01
2016,1,1,0.01
2016,1,1,0.52
2016,2,1,1.01
2016,2,1,0.49
2016,2,1,0.01
2016,3,1,0.01
2016,3,1,0.01
2016,3,1,0.01
2016,3,1,1.82
2016,3,1,0.71
2016,3,1,0.13
2016,3,1,0.74
2016,4,2,0.15
2016,4,2,0.27
2016,4,2,0.08
2016,5,2,0.01
2016,5,2,0.04
2016,5,2,0.01
2016,6,2,0.04
2016,9,3,0.01
2016,9,3,0.01
2016,10,4,0.20
2016,10,4,0.35
2016,10,4,0.01
2016,10,4,0.06
2016,10,4,0.18
2016,11,4,0.52
2016,11,4,0.49
2016,12,4,0.06
2016,12,4,0.01
2016,12,4,0.01
2016,12,4,1.30
2016,12,4,0.01
2016,12,4,0.07
2016,12,4,1.77
2016,12,4,0.04
2016,12,4,0.28
2017,1,1,0.08
2017,1,1,0.61
2017,1,1,0.29
2017,1,1,0.14
2017,1,1,0.93
2017,1,1,0.91
2017,1,1,0.28
2017,1,1,0.11
2017,1,1,0.91
2017,1,1,0.68
2017,1,1,1.78
2017,1,1,0.42
2017,1,1,1.31
2017,1,1,0.04
2017,2,1,0.17
2017,2,1,0.18
2017,2,1,1.48
2017,2,1,0.22
2017,2,1,0.46
2017,2,1,0.01
2017,2,1,0.04
2017,2,1,0.65
2017,2,1,0.01
2017,2,1,1.27
2017,2,1,5.02
2017,2,1,0.10
2017,2,1,0.74
2017,2,1,0.19
2017,2,1,0.06
2017,2,1,0.15
2017,3,1,0.20
2017,3,1,0.20
2017,3,1,0.55
2017,3,1,0.03
2017,4,2,0.12
2017,4,2,0.01
2017,4,2,0.21
2017,4,2,0.01
2017,5,2,0.20
2017,5,2,0.03
2017,6,2,0.01
2017,6,2,0.01
2017,9,3,0.00
2017,9,3,0.27
2017,9,3,0.01
2017,9,3,0.09
2017,11,4,0.04
2017,11,4,0.03
2018,1,1,0.07
2018,1,1,0.11
2018,1,1,0.02
2018,1,1,1.32
2018,1,1,0.39
2018,2,1,0.01
2018,2,1,0.02
2018,2,1,0.04
2018,3,1,0.48
2018,3,1,0.15
2018,3,1,0.01
2018,3,1,1.06
2018,3,1,0.01
2018,3,1,0.10
2018,3,1,0.66
2018,3,1,0.51
2018,3,1,0.13
2018,3,1,0.75
2018,3,1,1.91
2018,3,1,1.29
2018,3,1,0.01
